'Epoch (TDB)','TP (TDB)',e,'i (deg)','w (deg)','Node (deg)','q (AU)','Q (AU)','P (yr)','MOID (AU)','A1 (AU/d^2)','A2 (AU/d^2)','A3 (AU/d^2)','DT (d)'
53836,2453895.2,0.698251,11.430654,198.729436,69.971091,0.938888,5.28,5.49,0.04071,?,?,?,?
53839,2453894.511,0.800195,12.149318,196.765654,72.062275,0.93608,8.43,10.14,0.046608,?,?,?,?
53839,2453894.883,0.693358,11.429497,199.325698,69.376191,0.937705,5.18,5.35,0.040319,?,?,?,?
53839,2453894.906,0.699843,11.443933,198.722555,69.979774,0.938769,5.32,5.53,0.040892,?,?,?,?
53839,2453894.701,0.693358,11.544198,201.088596,68.119333,0.930937,5.14,5.29,0.04092,?,?,?,?
53839,2453894.816,0.694757,11.405142,198.801195,69.89156,0.938997,5.21,5.4,0.040601,?,?,?,?
53839,2453894.351,0.693769,11.325885,198.167192,70.388797,0.94075,5.2,5.38,0.040747,?,?,?,?
53856,2453893.11,0.70143,11.465909,198.74262,69.966978,0.938745,5.35,5.58,0.040996,?,?,?,?
53856,2453894.4,0.695912,11.413696,198.771316,69.920725,0.939006,5.24,5.43,0.04079,?,?,?,?
53839,2453893.311,0.695799,11.406523,198.709847,69.966302,0.939205,5.24,5.43,0.040648,?,?,?,?
53852,2453892.763,0.70097,11.460967,198.724761,69.97402,0.938827,5.34,5.56,0.041109,?,?,?,?
53839,2453892.789,0.686932,11.334621,198.810406,69.84813,0.939629,5.06,5.2,0.040208,?,?,?,?
53839,2453894.598,0.692822,11.382206,198.758306,69.914545,0.939298,5.18,5.35,0.040499,?,?,?,?
53839,2453892.996,0.693358,11.395115,198.833546,69.885247,0.939024,5.19,5.36,0.040526,?,?,?,?
53839,2453894.409,0.677301,11.239596,198.833974,69.794531,0.940258,4.89,4.97,0.039791,?,?,?,?
53839,2453895.999,0.69247,11.427785,199.25127,69.466952,0.93801,5.16,5.33,0.040309,?,?,?,?
53839,2453895.402,0.67509,11.22587,198.922032,69.71152,0.940193,4.85,4.92,0.039663,?,?,?,?
53839,2453893.205,0.67507,11.220709,198.867039,69.76426,0.940318,4.85,4.92,0.039697,?,?,?,?
53839,2453893.044,0.682433,11.270751,198.692023,69.920997,0.940248,4.98,5.09,0.040053,?,?,?,?
53839,2453893.591,0.682433,11.190185,197.928567,70.47094,0.942421,4.99,5.11,0.040143,?,?,?,?
53856,2453893.107,0.700468,11.458706,198.746133,69.955547,0.938807,5.33,5.55,0.040954,?,?,?,?
53839,2453892.675,0.682439,10.974548,196.463131,71.418483,0.946156,5.01,5.14,0.040389,?,?,?,?
53839,2453893.475,0.682439,11.316555,199.004134,69.693535,0.939421,4.98,5.09,0.039983,?,?,?,?
53856,2453893.564,0.685674,11.321976,198.809799,69.834557,0.939574,5.04,5.17,0.040397,?,?,?,?
53839,2453895.307,0.684755,11.324501,198.954826,69.720795,0.939342,5.02,5.14,0.040107,?,?,?,?
53839,2453895.153,0.682439,11.289406,198.838069,69.803926,0.939816,4.98,5.09,0.040047,?,?,?,?
53856,2453895.226,0.682463,11.300458,198.912797,69.752586,0.939765,4.98,5.09,0.040062,?,?,?,?
53839,2453895.186,0.691094,11.370229,198.797912,69.878765,0.939253,5.14,5.3,0.040461,?,?,?,?
53839,2453895.397,0.691543,11.370777,198.775388,69.897454,0.939267,5.15,5.31,0.040494,?,?,?,?
53839,2453895.363,0.696224,11.409361,198.699429,69.973358,0.9391,5.24,5.44,0.040742,?,?,?,?
53839,2453895.516,0.682439,11.294333,198.861349,69.775588,0.939757,4.98,5.09,0.040041,?,?,?,?
53856,2453894.712,0.691772,11.377449,198.794771,69.881534,0.939186,5.15,5.32,0.040649,?,?,?,?
53856,2453894.772,0.691828,11.376157,198.771554,69.891978,0.939219,5.16,5.32,0.040677,?,?,?,?
53856,2453894.892,0.682453,11.290775,198.848839,69.810611,0.939783,4.98,5.09,0.040186,?,?,?,?
53856,2453894.8,0.692454,11.388261,198.819846,69.865775,0.939156,5.17,5.34,0.040612,?,?,?,?
53856,2453892.736,0.685154,11.319248,198.841292,69.826712,0.939602,5.03,5.16,0.040313,?,?,?,?
53856,2453892.278,0.698574,11.444464,198.768523,69.939997,0.938949,5.29,5.5,0.040824,?,?,?,?
56558,2456527.786,0.618513,3.145619,281.689317,280.640337,1.123805,4.77,5.06,0.134779,-0,-0,?,?
54252,2454813.247,0.781161,4.295295,37.618385,359.396114,1.134657,9.24,11.81,0.149899,0,0,?,?
56541,2456123.323,0.959212,58.312214,14.757748,94.323236,0.123749,5.94,5.28,0.333731,0,-0,?,?
56981,2457863.823,0.69378,13.604272,181.322286,219.748745,1.064195,5.89,6.48,0.072005,?,?,?,?
57090,2457473.288,0.63852,10.250973,200.650953,235.441496,1.178758,5.34,5.89,0.202197,0,-0,0,?
50000,2448968.5,0.963226,113.453817,152.982168,139.381192,0.959516,51.22,133.28,0.000892,?,?,?,?
50280,2449996.5,0.962709,85.382753,12.996092,79.624501,0.659337,34.7,74.35,0.316817,?,?,?,?
53480,2453429.749,0.750124,12.795063,149.284434,246.16159,0.75285,5.27,5.23,0.105492,-0,0,0,?
51520,2451522.455,0.751062,12.811841,149.291811,246.133634,0.749006,5.27,5.22,0.107814,0,0,?,?
52749,2453542.365,0.835074,95.698068,47.13845,1.41567,1.273433,14.17,21.46,0.447763,?,?,?,?
53529,2453319.778,0.597244,27.844778,356.363697,31.251924,1.227689,4.87,5.32,0.232183,?,?,?,?
54296,2453631.013,0.766928,11.304441,217.976088,176.220412,0.606981,4.6,4.2,0.142644,?,?,?,?
53542,2453976.192,0.954501,31.179288,60.349652,272.186149,1.10732,47.57,120.07,0.31003,?,?,?,?
56908,2456818.826,0.707323,16.981179,333.798849,37.679458,1.123593,6.55,7.52,0.156355,-0,-0,?,?
53241,2454137.333,0.666342,16.909297,51.433843,75.100063,0.978022,4.88,5.02,0.109366,?,?,?,?
56498,2456153.046,0.699321,14.007018,181.940334,214.091018,0.932014,5.27,5.46,0.060833,?,0,?,?
56364,2456128.957,0.596796,20.375901,15.397138,282.144161,1.177563,4.66,4.99,0.170302,-0,-0,?,?
